注文番号,時間(Open Time),取引種別,数量,通貨ペア,価格,決済逆指値(S/L),決済指値(T/P),時間(Close Time),価格,手数料,税,スワップ,損益,MagicNo,コメント
99602026,2024.07.03 09:00:00,buy,0.36,USDJPY,161.871,161.564,0,2024.07.03 17:00:00,161.496,0,0,0,-13500,20240512,STR01_USDJPY_H1[sl]
99663507,2024.07.04 15:00:00,sell,0.34,USDJPY,161.001,161.325,0,2024.07.05 00:10:00,161.325,0,0,0,-11016,20240512,STR01_USDJPY_H1[sl]
99675772,2024.07.05 00:02:10,balance,0.01,,0,0,0,2024.07.05 00:02:10,0,0,0,0,-769,,RO 99663507 S 0.34 USDJPY
99710315,2024.07.05 07:00:00,sell,0.12,USDJPY,160.613,161.394,0,2024.07.08 18:00:03,160.61,0,0,0,36,20240512,STR01_USDJPY_H1
99736092,2024.07.06 00:02:08,balance,0.01,,0,0,0,2024.07.06 00:02:08,0,0,0,0,-272,,RO 99710315 S 0.12 USDJPY
99833671,2024.07.09 18:00:00,buy,0.22,USDJPY,161.365,160.88,0,2024.07.11 09:00:00,161.694,0,0,0,7238,20240512,STR01_USDJPY_H1
99834949,2024.07.09 19:00:01,buy,0.2,USDJPY,161.403,160.88,0,2024.07.11 09:00:02,161.689,0,0,0,5720,20240512,STR01_USDJPY_H1
99843839,2024.07.10 00:02:02,balance,0.01,,0,0,0,2024.07.10 00:02:02,0,0,0,0,563,,RO 99833671 B 0.22 USDJPY
99843840,2024.07.10 00:02:02,balance,0.01,,0,0,0,2024.07.10 00:02:02,0,0,0,0,512,,RO 99834949 B 0.20 USDJPY
99873580,2024.07.10 05:00:00,buy,0.38,USDJPY,161.538,161.257,0,2024.07.11 09:00:04,161.69,0,0,0,5776,20240512,STR01_USDJPY_H1
99886046,2024.07.10 18:00:00,buy,0.44,USDJPY,161.665,161.424,0,2024.07.11 09:00:06,161.702,0,0,0,1628,20240512,STR01_USDJPY_H1
99887268,2024.07.10 19:00:00,buy,0.34,USDJPY,161.742,161.424,0,2024.07.11 03:31:12,161.529,0,0,0,-7242,20240512,STR01_USDJPY_H1
99896999,2024.07.11 00:01:59,balance,0.01,,0,0,0,2024.07.11 00:01:59,0,0,0,0,2252,,RO 99833671 B 0.22 USDJPY
99897000,2024.07.11 00:01:59,balance,0.01,,0,0,0,2024.07.11 00:01:59,0,0,0,0,2048,,RO 99834949 B 0.20 USDJPY
99897001,2024.07.11 00:01:59,balance,0.01,,0,0,0,2024.07.11 00:01:59,0,0,0,0,3891,,RO 99873580 B 0.38 USDJPY
99897002,2024.07.11 00:01:59,balance,0.01,,0,0,0,2024.07.11 00:01:59,0,0,0,0,4505,,RO 99886046 B 0.44 USDJPY
99897003,2024.07.11 00:01:59,balance,0.01,,0,0,0,2024.07.11 00:01:59,0,0,0,0,3481,,RO 99887268 B 0.34 USDJPY
99942754,2024.07.11 16:00:00,sell,0.01,USDJPY,158.629,161.618,0,2024.07.11 16:02:27,158.123,0,0,0,506,20240512,to #99943477
99943477,2024.07.11 16:00:00,sell,0.01,USDJPY,158.629,157.939,0,2024.07.11 16:08:43,157.946,0,0,0,683,20240512,from #99942754[sl]
100064427,2024.07.15 20:00:00,sell,0.32,USDJPY,157.712,158.066,0,2024.07.15 23:25:36,158.066,0,0,0,-11328,20240512,STR01_USDJPY_H1[sl]
100105430,2024.07.16 04:00:00,buy,0.12,USDJPY,158.369,157.932,0,2024.07.16 15:54:50,158.873,0,0,0,6048,20240512,to #100119256
100106752,2024.07.16 05:00:00,buy,0.22,USDJPY,158.531,158.052,0,2024.07.17 05:00:00,158.472,0,0,0,-1298,20240512,STR01_USDJPY_H1
100107712,2024.07.16 06:00:00,buy,0.16,USDJPY,158.697,158.052,0,2024.07.17 05:00:02,158.471,0,0,0,-3616,20240512,STR01_USDJPY_H1
100119256,2024.07.16 04:00:00,buy,0.12,USDJPY,158.369,158.373,0,2024.07.16 21:44:15,158.372,0,0,0,36,20240512,from #100105430[sl]
100135256,2024.07.17 00:02:02,balance,0.01,,0,0,0,2024.07.17 00:02:02,0,0,0,0,479,,RO 100106752 B 0.22 USDJPY
100135257,2024.07.17 00:02:02,balance,0.01,,0,0,0,2024.07.17 00:02:02,0,0,0,0,348,,RO 100107712 B 0.16 USDJPY
100169192,2024.07.17 08:00:00,sell,0.13,USDJPY,158.218,158.625,0,2024.07.17 09:01:31,157.713,0,0,0,6565,20240512,to #100170896
100170661,2024.07.17 09:00:00,sell,0.09,USDJPY,157.873,158.476,0,2024.07.17 10:23:55,157.365,0,0,0,4572,20240512,to #100173367
100170896,2024.07.17 08:00:00,sell,0.13,USDJPY,158.218,156.604,0,2024.07.17 13:42:23,156.604,0,0,0,20982,20240512,from #100169192[sl]
100172360,2024.07.17 10:00:00,sell,0.08,USDJPY,157.818,158.449,0,2024.07.17 10:28:29,157.296,0,0,0,4176,20240512,to #100173677
100173367,2024.07.17 09:00:00,sell,0.09,USDJPY,157.873,156.604,0,2024.07.17 13:42:23,156.604,0,0,0,11421,20240512,from #100170661[sl]
100173677,2024.07.17 10:00:00,sell,0.08,USDJPY,157.818,156.604,0,2024.07.17 13:42:23,156.604,0,0,0,9712,20240512,from #100172360[sl]
100175296,2024.07.17 11:00:00,sell,0.04,USDJPY,157.064,158.387,0,2024.07.17 11:35:44,156.564,0,0,0,2000,20240512,to #100177280
100177280,2024.07.17 11:00:00,sell,0.04,USDJPY,157.064,156.604,0,2024.07.17 13:42:23,156.604,0,0,0,1840,20240512,from #100175296[sl]
100178813,2024.07.17 12:00:00,sell,0.02,USDJPY,156.227,158.235,0,2024.07.18 02:06:27,155.726,0,0,0,1002,20240512,to #100235505
100204016,2024.07.18 00:02:13,balance,0.01,,0,0,0,2024.07.18 00:02:13,0,0,0,0,-266,,RO 100178813 S 0.04 USDJPY
100235505,2024.07.17 12:00:00,sell,0.02,USDJPY,156.227,155.874,0,2024.07.18 04:11:11,155.874,0,0,0,706,20240512,from #100178813[sl]
100237406,2024.07.18 03:00:00,sell,0.16,USDJPY,155.651,156.345,0,2024.07.18 05:00:10,156.352,0,0,0,-11216,20240512,STR01_USDJPY_H1[sl]
100256636,2024.07.18 18:00:00,buy,0.09,USDJPY,156.758,156.173,0,2024.07.18 21:41:32,157.266,0,0,0,4572,20240512,to #100260319
100258132,2024.07.18 19:00:00,buy,0.07,USDJPY,156.977,156.173,0,2024.07.19 04:47:32,157.481,0,0,0,3528,20240512,to #100303830
100259168,2024.07.18 20:00:01,buy,0.06,USDJPY,157.152,156.314,0,2024.07.19 08:01:19,157.668,0,0,0,3096,20240512,to #100306534
100259959,2024.07.18 21:00:00,buy,0.08,USDJPY,157.193,156.494,0,2024.07.19 08:01:34,157.705,0,0,0,4096,20240512,to #100306571
100260319,2024.07.18 18:00:00,buy,0.09,USDJPY,156.758,157.362,0,2024.07.19 09:54:31,157.36,0,0,0,5418,20240512,from #100256636[sl]
100260497,2024.07.18 22:00:00,buy,0.09,USDJPY,157.282,156.69,0,2024.07.19 08:40:30,157.786,0,0,0,4536,20240512,to #100307322
100260999,2024.07.18 23:00:00,buy,0.22,USDJPY,157.37,156.865,0,2024.07.22 09:01:50,156.854,0,0,0,-11352,20240512,STR01_USDJPY_H1[sl]
100270218,2024.07.19 00:02:20,balance,0.01,,0,0,0,2024.07.19 00:02:20,0,0,0,0,301,,RO 100258132 B 0.14 USDJPY
100270219,2024.07.19 00:02:20,balance,0.01,,0,0,0,2024.07.19 00:02:20,0,0,0,0,258,,RO 100259168 B 0.12 USDJPY
100270220,2024.07.19 00:02:20,balance,0.01,,0,0,0,2024.07.19 00:02:20,0,0,0,0,344,,RO 100259959 B 0.16 USDJPY
100270221,2024.07.19 00:02:20,balance,0.01,,0,0,0,2024.07.19 00:02:20,0,0,0,0,193,,RO 100260319 B 0.09 USDJPY
100270222,2024.07.19 00:02:20,balance,0.01,,0,0,0,2024.07.19 00:02:20,0,0,0,0,387,,RO 100260497 B 0.18 USDJPY
100270223,2024.07.19 00:02:20,balance,0.01,,0,0,0,2024.07.19 00:02:20,0,0,0,0,473,,RO 100260999 B 0.22 USDJPY
100303830,2024.07.18 19:00:00,buy,0.07,USDJPY,156.977,157.362,0,2024.07.19 09:54:31,157.36,0,0,0,2681,20240512,from #100258132[sl]
100304112,2024.07.19 05:00:01,buy,0.28,USDJPY,157.463,157.063,0,2024.07.19 10:01:32,157.063,0,0,0,-11200,20240512,STR01_USDJPY_H1[sl]
100306534,2024.07.18 20:00:01,buy,0.06,USDJPY,157.152,157.362,0,2024.07.19 09:54:31,157.36,0,0,0,1248,20240512,from #100259168[sl]
100306571,2024.07.18 21:00:00,buy,0.08,USDJPY,157.193,157.362,0,2024.07.19 09:54:31,157.36,0,0,0,1336,20240512,from #100259959[sl]
100307322,2024.07.18 22:00:00,buy,0.09,USDJPY,157.282,157.362,0,2024.07.19 09:54:31,157.36,0,0,0,702,20240512,from #100260497[sl]
100307706,2024.07.19 09:00:00,buy,0.24,USDJPY,157.772,157.319,0,2024.07.19 09:54:43,157.31,0,0,0,-11088,20240512,STR01_USDJPY_H1[sl]
100333306,2024.07.20 00:02:05,balance,0.01,,0,0,0,2024.07.20 00:02:05,0,0,0,0,473,,RO 100260999 B 0.22 USDJPY
100370446,2024.07.22 09:00:00,sell,0.1,USDJPY,157.025,157.612,0,2024.07.22 09:10:44,156.531,0,0,0,4940,20240512,to #100371209
100371209,2024.07.22 09:00:00,sell,0.1,USDJPY,157.025,156.789,0,2024.07.22 10:57:00,156.789,0,0,0,2360,20240512,from #100370446[sl]
100373084,2024.07.22 10:00:00,sell,0.1,USDJPY,156.445,157.566,0,2024.07.23 03:00:00,156.913,0,0,0,-4680,20240512,STR01_USDJPY_H1
100396155,2024.07.23 00:02:10,balance,0.01,,0,0,0,2024.07.23 00:02:10,0,0,0,0,-221,,RO 100373084 S 0.10 USDJPY
100432675,2024.07.23 07:00:00,sell,0.08,USDJPY,156.283,156.926,0,2024.07.23 19:40:50,155.766,0,0,0,4136,20240512,to #100448800
100437799,2024.07.23 11:00:00,sell,0.09,USDJPY,156.036,156.636,0,2024.07.24 04:10:45,155.524,0,0,0,4608,20240512,to #100495296
100448800,2024.07.23 07:00:00,sell,0.08,USDJPY,156.283,154.873,0,2024.07.24 10:23:58,154.873,0,0,0,11280,20240512,from #100432675[sl]
100449163,2024.07.23 20:00:01,sell,0.13,USDJPY,155.782,156.206,0,2024.07.24 04:12:33,155.273,0,0,0,6617,20240512,to #100495584
100449996,2024.07.23 21:00:00,sell,0.22,USDJPY,155.683,154.873,0,2024.07.24 10:23:58,154.873,0,0,0,17820,20240512,STR01_USDJPY_H1[sl]
100460500,2024.07.24 00:02:16,balance,0.01,,0,0,0,2024.07.24 00:02:16,0,0,0,0,-398,,RO 100437799 S 0.18 USDJPY
100460501,2024.07.24 00:02:16,balance,0.01,,0,0,0,2024.07.24 00:02:16,0,0,0,0,-177,,RO 100448800 S 0.08 USDJPY
100460502,2024.07.24 00:02:16,balance,0.01,,0,0,0,2024.07.24 00:02:16,0,0,0,0,-575,,RO 100449163 S 0.26 USDJPY
100460503,2024.07.24 00:02:16,balance,0.01,,0,0,0,2024.07.24 00:02:16,0,0,0,0,-487,,RO 100449996 S 0.22 USDJPY
100495296,2024.07.23 11:00:00,sell,0.09,USDJPY,156.036,154.873,0,2024.07.24 10:23:58,154.873,0,0,0,10467,20240512,from #100437799[sl]
100495584,2024.07.23 20:00:01,sell,0.13,USDJPY,155.782,154.873,0,2024.07.24 10:23:58,154.873,0,0,0,11817,20240512,from #100449163[sl]
100497410,2024.07.24 05:00:00,sell,0.08,USDJPY,155.249,155.989,0,2024.07.24 07:39:58,154.747,0,0,0,4016,20240512,to #100502213
100500219,2024.07.24 07:00:00,sell,0.06,USDJPY,155.045,155.989,0,2024.07.24 08:05:10,154.536,0,0,0,3054,20240512,to #100503181
100502213,2024.07.24 05:00:00,sell,0.08,USDJPY,155.249,154.873,0,2024.07.24 10:23:58,154.873,0,0,0,3008,20240512,from #100497410[sl]
100503006,2024.07.24 08:00:00,sell,0.08,USDJPY,154.605,153.612,0,2024.07.24 20:07:19,153.612,0,0,0,7944,20240512,STR01_USDJPY_H1[sl]
100503181,2024.07.24 07:00:00,sell,0.06,USDJPY,155.045,154.873,0,2024.07.24 10:23:58,154.873,0,0,0,1032,20240512,from #100500219[sl]
100514585,2024.07.24 15:00:00,sell,0.08,USDJPY,154.187,154.946,0,2024.07.24 16:34:45,153.68,0,0,0,4056,20240512,to #100519058
100517569,2024.07.24 16:00:00,sell,0.05,USDJPY,153.812,154.932,0,2024.07.24 17:02:45,153.313,0,0,0,2495,20240512,to #100521670
100519058,2024.07.24 15:00:00,sell,0.08,USDJPY,154.187,153.612,0,2024.07.24 20:07:19,153.612,0,0,0,4600,20240512,from #100514585[sl]
100521399,2024.07.24 17:00:00,sell,0.04,USDJPY,153.438,154.839,0,2024.07.25 03:38:12,152.885,0,0,0,2212,20240512,to #100578313
100521670,2024.07.24 16:00:00,sell,0.05,USDJPY,153.812,153.612,0,2024.07.24 20:07:19,153.612,0,0,0,1000,20240512,from #100517569[sl]
100525130,2024.07.24 18:00:00,sell,0.04,USDJPY,153.27,154.579,0,2024.07.25 04:33:31,152.754,0,0,0,2064,20240512,to #100581030
100540304,2024.07.25 00:02:20,balance,0.01,,0,0,0,2024.07.25 00:02:20,0,0,0,0,-531,,RO 100521399 S 0.08 USDJPY
100540305,2024.07.25 00:02:20,balance,0.01,,0,0,0,2024.07.25 00:02:20,0,0,0,0,-531,,RO 100525130 S 0.08 USDJPY
100578313,2024.07.24 17:00:00,sell,0.04,USDJPY,153.438,153.369,0,2024.07.25 03:55:14,153.369,0,0,0,276,20240512,from #100521399[sl]
100581030,2024.07.24 18:00:00,sell,0.04,USDJPY,153.27,152.733,0,2024.07.25 08:05:37,152.733,0,0,0,2148,20240512,from #100525130[sl]
100586048,2024.07.25 07:00:01,sell,0.06,USDJPY,152.318,153.967,0,2024.07.25 16:05:55,153.967,0,0,0,-9894,20240512,STR01_USDJPY_H1[sl]
100592495,2024.07.25 11:00:00,sell,0.16,USDJPY,152.187,152.974,0,2024.07.25 15:30:03,153.005,0,0,0,-13088,20240512,STR01_USDJPY_H1[sl]
100673817,2024.07.26 14:00:00,buy,0.12,USDJPY,154.571,153.545,0,2024.07.26 17:18:46,153.545,0,0,0,-12312,20240512,STR01_USDJPY_H1[sl]
100801545,2024.07.30 08:00:00,buy,0.1,USDJPY,154.45,153.85,0,2024.07.30 09:25:02,154.953,0,0,0,5030,20240512,to #100803577
100802879,2024.07.30 09:00:00,buy,0.08,USDJPY,154.655,153.942,0,2024.07.30 09:44:55,155.16,0,0,0,4040,20240512,to #100804189
100803577,2024.07.30 08:00:00,buy,0.1,USDJPY,154.45,154.712,0,2024.07.30 11:05:37,154.712,0,0,0,2620,20240512,from #100801545[sl]
100804189,2024.07.30 09:00:00,buy,0.08,USDJPY,154.655,154.712,0,2024.07.30 11:05:37,154.712,0,0,0,456,20240512,from #100802879[sl]
100804592,2024.07.30 10:00:00,buy,0.1,USDJPY,155.028,153.976,0,2024.07.30 18:04:17,153.963,0,0,0,-10650,20240512,STR01_USDJPY_H1[sl]
100819521,2024.07.30 20:00:00,sell,0.03,USDJPY,153.235,154.938,0,2024.07.30 23:53:59,152.741,0,0,0,1482,20240512,to #100822802
100822802,2024.07.30 20:00:00,sell,0.03,USDJPY,153.235,152.929,0,2024.07.31 01:52:27,152.933,0,0,0,906,20240512,from #100819521[sl]
100832521,2024.07.31 00:02:14,balance,0.01,,0,0,0,2024.07.31 00:02:14,0,0,0,0,-67,,RO 100822802 S 0.03 USDJPY
100865045,2024.07.31 00:10:00,sell,0.09,USDJPY,152.76,153.44,0,2024.07.31 03:31:06,152.255,0,0,0,4545,20240512,to #100868702
100868702,2024.07.31 00:10:00,sell,0.09,USDJPY,152.76,152.62,0,2024.07.31 05:11:58,152.639,0,0,0,1089,20240512,from #100865045[sl]
100869728,2024.07.31 04:00:00,sell,0.16,USDJPY,152.372,153.133,0,2024.07.31 05:12:02,153.166,0,0,0,-12704,20240512,STR01_USDJPY_H1[sl]
100890320,2024.07.31 11:00:00,sell,0.02,USDJPY,150.922,153.894,0,2024.07.31 11:07:23,150.418,0,0,0,1008,20240512,to #100891055
100891055,2024.07.31 11:00:00,sell,0.02,USDJPY,150.922,150.562,0,2024.07.31 11:15:22,150.568,0,0,0,708,20240512,from #100890320[sl]
100959885,2024.08.01 04:00:00,sell,0.06,USDJPY,149.439,150.323,0,2024.08.01 04:20:52,148.92,0,0,0,3114,20240512,to #100961199
100961199,2024.08.01 04:00:00,sell,0.06,USDJPY,149.439,149.013,0,2024.08.01 04:53:09,149.013,0,0,0,2556,20240512,from #100959885[sl]
100963338,2024.08.01 05:00:00,sell,0.1,USDJPY,149.174,150.323,0,2024.08.01 09:38:49,150.323,0,0,0,-11490,20240512,STR01_USDJPY_H1[sl]
101052063,2024.08.02 10:00:00,sell,0.07,USDJPY,148.834,149.645,0,2024.08.02 15:30:10,148.245,0,0,0,4123,20240512,to #101060819
101060819,2024.08.02 10:00:00,sell,0.07,USDJPY,148.834,147.633,0,2024.08.02 15:38:43,147.633,0,0,0,8407,20240512,from #101052063[sl]
101066364,2024.08.02 16:00:00,sell,0.03,USDJPY,147.443,149.12,0,2024.08.02 17:04:37,146.913,0,0,0,1590,20240512,to #101072236
101072236,2024.08.02 16:00:00,sell,0.03,USDJPY,147.443,146.919,0,2024.08.02 18:46:11,146.919,0,0,0,1572,20240512,from #101066364[sl]
101077060,2024.08.02 18:00:00,sell,0.02,USDJPY,146.668,149.12,0,2024.08.05 01:04:05,146.161,0,0,0,1014,20240512,to #101122627
101093025,2024.08.03 00:02:21,balance,0.01,,0,0,0,2024.08.03 00:02:21,0,0,0,0,-84,,RO 101077060 S 0.04 USDJPY
101122627,2024.08.02 18:00:00,sell,0.02,USDJPY,146.668,146.466,0,2024.08.05 01:30:57,146.47,0,0,0,396,20240512,from #101077060[sl]
101124551,2024.08.05 02:00:00,sell,0.1,USDJPY,146.287,146.897,0,2024.08.05 02:45:09,145.779,0,0,0,5080,20240512,to #101126481
101126481,2024.08.05 02:00:00,sell,0.1,USDJPY,146.287,145.796,0,2024.08.05 03:00:08,145.799,0,0,0,4880,20240512,from #101124551[sl]
101127568,2024.08.05 03:00:00,sell,0.1,USDJPY,145.576,145.272,0,2024.08.05 04:30:44,145.272,0,0,0,3040,20240512,STR01_USDJPY_H1[sl]
101135328,2024.08.05 05:00:00,sell,0.04,USDJPY,145.107,146.546,0,2024.08.05 06:51:36,144.596,0,0,0,2044,20240512,to #101139119
101139119,2024.08.05 05:00:00,sell,0.04,USDJPY,145.107,142.712,0,2024.08.05 07:27:01,142.718,0,0,0,9556,20240512,from #101135328[sl]
101139911,2024.08.05 07:00:00,sell,0.03,USDJPY,144.362,145.941,0,2024.08.05 07:09:01,143.865,0,0,0,1491,20240512,to #101140835
101140835,2024.08.05 07:00:00,sell,0.03,USDJPY,144.362,142.712,0,2024.08.05 07:27:01,142.718,0,0,0,4932,20240512,from #101139911[sl]
101146150,2024.08.05 08:00:00,sell,0.04,USDJPY,143.154,143.004,0,2024.08.05 08:44:25,143.008,0,0,0,584,20240512,STR01_USDJPY_H1[sl]
101244901,2024.08.06 03:00:00,buy,0.04,USDJPY,145.832,145.866,0,2024.08.06 03:20:09,145.865,0,0,0,132,20240512,STR01_USDJPY_H1[sl]
101340713,2024.08.07 05:00:00,buy,0.02,USDJPY,146.775,144.305,0,2024.08.07 06:43:57,147.286,0,0,0,1022,20240512,to #101344567
101344567,2024.08.07 05:00:00,buy,0.02,USDJPY,146.775,147.395,0,2024.08.07 08:20:34,147.388,0,0,0,1226,20240512,from #101340713[sl]
101347660,2024.08.07 08:00:00,buy,0.04,USDJPY,147.645,144.553,0,2024.08.08 06:00:00,146.589,0,0,0,-4224,20240512,STR01_USDJPY_H1
101385999,2024.08.08 00:02:07,balance,0.01,,0,0,0,2024.08.08 00:02:07,0,0,0,0,312,,RO 101347660 B 0.04 USDJPY
101495040,2024.08.09 03:00:00,buy,0.2,USDJPY,147.693,147.1,0,2024.08.09 04:58:53,147.1,0,0,0,-11860,20240512,STR01_USDJPY_H1[sl]
